ssn,firstName,lastName,studyStatus,department
1640000,E,Bui Bui Tran,TRUE,D6
1630001,A,Vu Hua Mai Le,TRUE,D11
1610002,C,Bui Mai,TRUE,D8
1600003,D,Hua Nguyen Mai,TRUE,D1
1670004,D,Bui Vu Bui,TRUE,D10
1660005,A,Tran Tran Le Nguyen,TRUE,D10
1630006,B,Tran Phung Tran Vu,TRUE,D5
1620007,A,Bui Vu,TRUE,D2
1630008,A,Bui Mai,TRUE,D8
1650009,A,Phung Nguyen,TRUE,D4
1670010,C,Le Hua Hua Phung,TRUE,D11
1690011,A,Hua Vu Mai,TRUE,D3
1680012,C,Vu Hua Hua,TRUE,D11
1670013,D,Bui Bui Mai Mai,TRUE,D5
1610014,A,Mai Nguyen,TRUE,D2
1620015,D,Le Phung Mai Phung,TRUE,D9
1680016,E,Mai Hua Mai Tran,TRUE,D9
1690017,D,Vu Tran,TRUE,D3
1610018,D,Hua Tran Mai,TRUE,D1
1610019,D,Tran Le,TRUE,D6
1610020,A,Nguyen Tran Mai Hua,TRUE,D7
1650021,E,Nguyen Nguyen,TRUE,D7
1630022,E,Phung Phung Hua,TRUE,D4
1620023,B,Hua Nguyen,TRUE,D11
1680024,E,Le Hua,TRUE,D9
1630025,B,Le Phung,TRUE,D11
1660026,C,Hua Le Le Mai,TRUE,D3
1610027,C,Hua Vu Nguyen Vu,TRUE,D4
1660028,B,Phung Tran Le,TRUE,D9
1670029,C,Tran Le Phung Nguyen,TRUE,D6
1610030,B,Tran Tran Nguyen,TRUE,D4
1610031,B,Hua Hua Hua Hua,TRUE,D10
1600032,E,Hua Nguyen Tran Tran,FALSE,D6
1680033,D,Le Hua Vu,TRUE,D6
1670034,D,Tran Phung,TRUE,D7
1610035,A,Nguyen Mai Mai Phung,TRUE,D1
1610036,D,Mai Le Bui Mai,TRUE,D4
1620037,B,Vu Hua,TRUE,D1
1600038,B,Nguyen Tran,TRUE,D7
1680039,E,Vu Nguyen,TRUE,D10
1600040,E,Tran Mai Le,TRUE,D5
1600041,B,Bui Phung Phung,TRUE,D4
1630042,E,Vu Phung Nguyen,FALSE,D6
1610043,A,Mai Le Hua,TRUE,D9
1690044,B,Tran Mai,FALSE,D6
1680045,E,Mai Mai,TRUE,D9
1630046,D,Vu Le,TRUE,D11
1670047,E,Tran Mai Bui,TRUE,D11
1660048,A,Hua Bui Phung Nguyen,TRUE,D9
1620049,A,Hua Tran,TRUE,D8
1670050,C,Hua Mai,TRUE,D4
1680051,C,Bui Le,TRUE,D1
1650052,D,Tran Bui,TRUE,D9
1620053,B,Nguyen Vu,TRUE,D9
1670054,D,Vu Mai,TRUE,D9
1640055,D,Le Mai Phung,FALSE,D7
1650056,E,Bui Tran,TRUE,D11
1650057,E,Bui Mai Vu,TRUE,D6
1660058,D,Mai Nguyen Bui,TRUE,D6
1680059,E,Nguyen Tran Bui Phung,TRUE,D2
1680060,D,Vu Le Le Mai,FALSE,D1
1600061,C,Nguyen Vu Bui,TRUE,D10
1650062,B,Tran Mai,TRUE,D1
1680063,B,Bui Bui Nguyen,TRUE,D4
1630064,C,Hua Vu,TRUE,D7
1620065,E,Hua Vu Mai Phung,TRUE,D3
1620066,C,Bui Tran,TRUE,D6
1670067,D,Vu Vu Vu,TRUE,D3
1670068,E,Bui Bui Phung Le,TRUE,D1
1640069,B,Le Mai Le,TRUE,D7
1670070,B,Mai Le Le,TRUE,D4
1600071,B,Vu Nguyen Phung Bui,TRUE,D10
1630072,E,Nguyen Le Tran,TRUE,D7
1690073,C,Le Hua,TRUE,D4
1660074,B,Vu Tran Mai Hua,TRUE,D1
1660075,A,Phung Vu,TRUE,D5
1620076,C,Tran Tran Nguyen,TRUE,D6
1600077,D,Mai Hua Phung,TRUE,D8
1620078,A,Tran Mai Vu,TRUE,D10
1630079,A,Nguyen Phung Tran,TRUE,D4
